ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Eelgrass coverage/density,Other - Eelgrass coverage/density,Bottom Type,Other - Bottom Type,Edge Present (patchiness),Motile Organisms,Other - Motile Organisms,Tunicates and other adhered organisms,Other - Tunicates and other adhered organisms,Algae Survey (not adhered to eelgrass),Reproduction,Other - Reproduction,Techniques deployed here,Other - Techniques deployed here,Researchers' Name/s,"filename of footage, tracks etc.",Length of Longest Leaf,Shoot Width,Number of leaves per plant,x,y
1,eff81d37-fc3e-4ff6-9677-e8443fea1711,7/11/2019 5:17:37 PM,susangbryant_Cohasset,7/11/2019 5:17:37 PM,susangbryant_Cohasset,7/11/2019 5:16:00 PM,50,,"clay_harder_than_mud,mud_more_slick_than_sand,solid_granite_rock,stony_cobble",,all_the_same_no_edge,"periwinkle_snail,fish,lobster,moon_snail,green_crab",,"larger_than_1_cm,none_found",,"filamentous_like_hairfur,red,dendritictreelike",seed_podsbranchiness,,"float_over,swimmers_in_50_radius_observing,ysi",,LC SB,,,,,-70.7872909527684,42.2389205585744
2,6e8df467-3790-4cc9-9b19-c57f32944c6b,7/11/2019 6:12:31 PM,susangbryant_Cohasset,7/11/2019 6:12:31 PM,susangbryant_Cohasset,7/11/2019 5:52:00 PM,50,,sand,,edge_visible_within_3_meters,hermit_crab,,"smaller_than_1_cm,larger_than_1_cm,orange",,filamentous_like_hairfur,"seed_podsbranchiness,solo_colonizing_plant_from_seed",,float_over,,Lc sb,,,,,-70.7815767825309,42.2469346085957
3,b9b2b3d4-20f0-4f9e-8e6b-fac39e713964,7/11/2019 6:25:14 PM,susangbryant_Cohasset,7/11/2019 6:25:14 PM,susangbryant_Cohasset,7/11/2019 6:20:00 PM,1_solo_colonizing_plant,,sand,,edge_visible_within_3_meters,other,Two worms,none_found,,filamentous_like_hairfur,solo_colonizing_plant_from_seed,,"float_over,other",Wading,Lc SB,,,,,-70.7810281869683,42.245645723345
4,8f056208-f66c-4348-9551-86d3a4eaac5c,7/12/2019 6:17:02 PM,susangbryant_Cohasset,7/12/2019 6:17:02 PM,susangbryant_Cohasset,7/12/2019 5:56:00 PM,50,,"shells,stony_cobble,gravel",,edge_visible_within_3_meters,"moon_snail,hermit_crab,periwinkle_snail",,smaller_than_1_cm,,filamentous_like_hairfur,none,,"float_over,gopro_video_on_quadrat,swimmers_in_50_radius_observing",,"Susan, Andrew, Lucy, and Elise ",,,,,-70.7770110115436,42.2506558870739
5,f470c691-ac86-4311-b649-036cc21976ce,7/12/2019 6:37:35 PM,susangbryant_Cohasset,11/18/2019 10:59:45 PM,susangbryant_Cohasset,7/12/2019 6:28:00 PM,other,This one must be in the wrong place.,"gravel,shells,stony_cobble",,edge_visible_within_3_meters,"periwinkle_snail,hermit_crab",,smaller_than_1_cm,,"lettuce_leafy,dendritictreelike,green",,,"float_over,swimmers_in_50_radius_observing,gopro_video_on_quadrat",,"Susan, Andrew, Lucy, and Elise",,,,,-70.7681663001083,42.2433215669009
6,40755d01-285a-4c0c-8488-078bae6f0a06,7/12/2019 8:01:41 PM,,7/12/2019 8:01:41 PM,,7/12/2019 6:38:00 PM,none,,,,,,,,,,,,float_over,,,,,,,-70.7746350579623,42.2510931222162
7,97a17ece-ba4e-4e20-b94c-c7d0a3214f12,7/14/2019 7:43:33 PM,susangbryant_Cohasset,7/14/2019 7:43:33 PM,susangbryant_Cohasset,7/14/2019 7:41:00 PM,1_solo_colonizing_plant,,sand,,edge_visible_within_3_meters,hermit_crab,,,,"filamentous_but_thicker_than_ha,dendritictreelike,air_bladders,brown",solo_colonizing_plant_from_seed,,"float_over,gopro_video_on_quadrat",,Brendan Burke sb,,,,,-70.7813627925429,42.2458434105313
8,e6c59984-b3d9-42bc-8172-88ec72ee59f0,7/14/2019 8:01:47 PM,susangbryant_Cohasset,7/14/2019 8:01:47 PM,susangbryant_Cohasset,7/14/2019 7:59:00 PM,none,,"sand,shells,gravel,stony_cobble",,all_the_same_no_edge,hermit_crab,,,,none,,,other,Wading,Eu Oyster ,,,,,-70.7727973256919,42.2499835258743
9,402cef74-932b-45ec-91ba-5dff99b5b1d4,7/14/2019 8:04:53 PM,susangbryant_Cohasset,7/14/2019 10:57:45 PM,susangbryant_Cohasset,7/14/2019 8:02:00 PM,none,,"sand,shells,stony_cobble,gravel",,all_the_same_no_edge,periwinkle_snail,,none_found,,none,none,,other,Walking ,Waypoint 177 B.B. lc ah sb,,,,,-70.7722307090375,42.2499681869915
10,9ab5bc4b-0da8-41bd-ab4e-572bbb1c0563,7/14/2019 8:18:10 PM,susangbryant_Cohasset,7/14/2019 8:18:10 PM,susangbryant_Cohasset,7/14/2019 8:16:00 PM,50,,"shells,mud_more_slick_than_sand,gravel",,edge_visible_within_3_meters,"hermit_crab,green_crab",,,,filamentous_like_hairfur,,,float_over,,,,,,,-70.8017179230486,42.2462732566439
